,Date,Price
0,2021-09-01,453.0
1,2021-10-01,502.15
2,2021-11-01,460.55
3,2021-12-01,460.45
4,2022-01-01,538.3
5,2022-02-01,483.2
6,2022-03-01,493.55
7,2022-04-01,496.3
8,2022-05-01,468.1
9,2022-06-01,465.9
10,2022-07-01,528.35
11,2022-08-01,531.25
12,2022-09-01,530.6
13,2022-10-01,573.8
14,2022-11-01,602.45
15,2022-12-01,613.7
16,2023-01-01,553.5
17,2023-02-01,522.8
18,2023-03-01,523.75
19,2023-04-01,578.3
20,2023-05-01,579.85
21,2023-06-01,572.85
22,2023-07-01,620.2
23,2023-08-01,571.7
24,2023-08-22,568.5
